Song,OG Artist,OG Song,Band,Album,Track ID,Popularity,Preview URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
Away From The Sun,3 Doors Down,Away From The Sun,3 Doors Down,Away From The Sun,3ibrMJL5dDVJiRoKjKWe5u,32,,0.542,0.697,0,-6.299,1,0.0269,0.022,0.0,0.0929,0.225,131.92,audio_features,231787,4
Be Like That,3 Doors Down,Be Like That,3 Doors Down,The Better Life,3PbHle8KhJp6GuO1jLdEmQ,63,,0.487,0.702,7,-6.043,1,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,audio_features,265907,4
Behind Those Eyes,3 Doors Down,Behind Those Eyes,3 Doors Down,Seventeen Days,0b1dRMd5quY5DceeqHTejG,23,,0.568,0.653,7,-6.215,1,0.0287,0.0338,3.8e-06,0.256,0.194,142.208,audio_features,259160,4
Duck And Run,3 Doors Down,Duck And Run,3 Doors Down,The Better Life,0s8OsDxW96cl290PcsI2mX,52,,0.524,0.919,4,-5.505,0,0.0436,0.0149,7.05e-05,0.131,0.848,87.931,audio_features,230600,4
Every Time You Go - Acoustic Version,3 Doors Down,Every Time You Go,3 Doors Down,Time Of My Life,06htxUsg7qNSFvJegITTrg,40,,0.584,0.53,2,-4.432,1,0.0287,0.465,0.0,0.349,0.49,126.105,audio_features,228800,4
Here Without You,3 Doors Down,Here Without You,3 Doors Down,Away From The Sun,5IXk34xSm6rxNgXkCveC3r,52,,0.555,0.545,10,-6.768,0,0.0255,0.0629,0.0,0.124,0.193,143.988,audio_features,238560,4
In The Dark,3 Doors Down,In The Dark,3 Doors Down,Us And The Night,1ILnhyARReabVz7U2oDQMm,54,,0.595,0.95,7,-3.356,1,0.0452,0.0233,0.0195,0.334,0.67,106.017,audio_features,223680,4
It's Not My Time,3 Doors Down,Its Not My Time,3 Doors Down,3 Doors Down,6FVjs1K8YpFY2xCHQRzPWq,47,,0.529,0.934,0,-4.808,1,0.0602,0.00153,5.16e-06,0.118,0.282,127.962,audio_features,241960,4
Kryptonite,3 Doors Down,Kryptonite,3 Doors Down,The Better Life,6ZOBP3NvffbU4SZcrnt1k6,84,,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,233933,4
Landing In London,3 Doors Down,Landing In London,3 Doors Down,Seventeen Days,3ItHxaRVO9Fxd25QGjfq15,30,,0.475,0.493,4,-6.848,0,0.0267,0.51,4.06e-06,0.116,0.142,147.425,audio_features,271373,4
Let Me Go,3 Doors Down,Let Me Go,3 Doors Down,The Greatest Hits,6A1yZW5SLd9hpLZsG29hCQ,54,,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004,audio_features,243053,4
Live For Today,3 Doors Down,Live For Today,3 Doors Down,Seventeen Days,6iNafwaOKcTHU9RVyMxD00,8,,0.6,0.839,0,-5.805,1,0.031,0.00743,8.64e-06,0.192,0.441,102.23,audio_features,227640,4
Loser,3 Doors Down,Loser,3 Doors Down,The Better Life,1aC1IBAETh2XYGOE8kCC6t,64,,0.493,0.88,6,-6.424,0,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,audio_features,264800,4
One Light,3 Doors Down,One Light,3 Doors Down,The Greatest Hits,6sIYRzeM8ke76g4zudDJF1,42,,0.372,0.976,11,-3.67,1,0.0625,0.00117,0.00326,0.0597,0.433,170.086,audio_features,176347,4
