Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
1980,I Can't Stand It,Eric Clapton,2,1981-03-21,False
1980,You Better You Bet,The Who,5,1981-04-04,False
1980,The Waiting,Tom Petty and the Heartbreakers,6,1981-05-09,False
1980,A Life of Illusion,Joe Walsh,1,1981-06-20,False
1980,The Voice,The Moody Blues,4,1981-06-27,False
1980,Urgent,Foreigner,4,1981-07-25,False
1980,Burnin' for You,Blue Öyster Cult,2,1981-08-22,False
1980,Start Me Up,The Rolling Stones,13,1981-09-05,False
1980,Waiting for a Girl Like You,Foreigner,1,1981-12-05,False
1980,Every Little Thing She Does Is Magic,The Police,2,1981-12-12,False
1980,Harden My Heart,Quarterflash,3,1981-12-26,False
1980,Centerfold,The J. Geils Band,3,1982-01-16,False
1980,I Love Rock and Roll,Joan Jett,5,1982-02-06,False
1980, Pretty Woman,Van Halen,2,1982-03-13,False
1980,Don't Let Him Know,Prism,1,1982-03-27,False
1980,867-5309/Jenny,Tommy Tutone,3,1982-04-03,False
1980,Heat of the Moment,Asia,5,1982-04-24,False
1980,No One Like You,Scorpions,1,1982-05-29,False
1980,Stone Cold,Rainbow,1,1982-06-05,False
1980,Heat of the Moment,Asia,1,1982-06-12,False
1980,Hurts So Good,John Cougar,1,1982-06-19,False
1980,Caught Up in You,.38 Special,1,1982-06-26,False
1980,Eye of the Tiger,Survivor,5,1982-07-03,False
1980,Think I'm in Love,Eddie Money,3,1982-08-07,False
1980,Everybody Wants You,Billy Squier,6,1982-08-28,False
1980,New World Man,Rush,1,1982-10-09,False
1980,Dirty Laundry,Don Henley,2,1982-10-16,False
1980,New World Man,Rush,1,1982-10-30,False
1980,Dirty Laundry,Don Henley,1,1982-11-06,False
1980,Shock the Monkey,Peter Gabriel,2,1982-11-13,False
1980,Down Under,Men at Work,2,1982-11-27,False
1980,You Got Lucky,Tom Petty and the Heartbreakers,2,1982-12-11,False
1980,Down Under,Men at Work,3,1982-12-25,False
1980,You Got Lucky,Tom Petty and the Heartbreakers,1,1983-01-15,False
1980,Hungry Like the Wolf,Duran Duran,3,1983-01-22,False
1980,Twilight Zone,Golden Earring,1,1983-02-12,False
1980,Separate Ways ,Journey,4,1983-02-19,False
1980,Photograph,Def Leppard,6,1983-03-19,False
1980,She's a Beauty,The Tubes,5,1983-04-30,False
