Song,Band,Album,Track ID,Popularity,Preview URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
I Can't Stand It,Eric Clapton,Another Ticket,4nn8lowQWN8vQBwE7X4Nt2,42,,0.845,0.57,9,-12.927,0,0.0377,0.291,0.159,0.0402,0.83,120.3,audio_features,249573,4
You Better You Bet,The Who,Face Dances,6krAkpKf8NW11bOfNkxpmx,49,,0.582,0.761,0,-8.501,1,0.0451,0.523,3.73e-05,0.0686,0.545,161.959,audio_features,338560,4
The Waiting,Tom Petty and the Heartbreakers,Hard Promises (Reissue Remastered),410scb2GpNZS9ZYaLkUtQb,40,,0.565,0.923,2,-4.535,1,0.0316,0.0357,0.0,0.354,0.722,119.971,audio_features,238493,4
A Life of Illusion,Joe Walsh,There Goes the Neighborhood,19P4fwkPhE6yVAXApFWDoF,59,https://p.scdn.co/mp3-preview/a515ecba89d009bbb6972ccd1c9c144b5c9adecc?cid=3502c8805da84b25aa0305556012150b,0.692,0.613,2,-10.735,1,0.0282,0.0407,0.0652,0.094,0.93,120.901,audio_features,210533,4
The Voice,The Moody Blues,Long Distance Voyager (Expanded),0iGNd4z2m80OjE2JcWmBSs,48,,0.439,0.831,0,-8.116,1,0.045,0.076,0.000462,0.127,0.58,152.334,audio_features,316560,4
Urgent,Foreigner,4 (Expanded),08onVqQ8YicJ98Ycm1qoLf,65,https://p.scdn.co/mp3-preview/be9892ae75bbf5015fea5f75dfb2aa6ccfe9ba48?cid=3502c8805da84b25aa0305556012150b,0.855,0.803,4,-5.849,0,0.0316,0.342,0.00732,0.0841,0.962,114.867,audio_features,271200,4
Burnin' for You,Blue Öyster Cult,Fire of Unknown Origin,3fkPMWQ6cBNBLuFcPyMS8s,70,https://p.scdn.co/mp3-preview/09bc046877993e7c60c69eec74e77eda73ac13cc?cid=3502c8805da84b25aa0305556012150b,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,audio_features,271000,4
Start Me Up - Remastered 2009,The Rolling Stones,Tattoo You (2009 Re-Mastered),7HKez549fwJQDzx3zLjHKC,83,,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,audio_features,213067,4
Waiting for a Girl like You,Foreigner,4 (Expanded),2OgVsp77En2nju8pnCieVU,76,https://p.scdn.co/mp3-preview/eb9bc288993d359b47877ad16830f6060dbba31e?cid=3502c8805da84b25aa0305556012150b,0.33,0.469,10,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,audio_features,292067,4
Every Little Thing She Does Is Magic,The Police,Ghost In The Machine (Remastered 2003),44aTAUBF0g6sMkMNE8I5kd,81,,0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,audio_features,260573,4
Harden My Heart,Quarterflash,Quarterflash,3CSLUIrI2KPMulHR5bh17O,57,,0.531,0.43,11,-14.523,0,0.0578,0.0568,1.22e-06,0.0964,0.453,124.284,audio_features,232627,4
Centerfold,The J. Geils Band,Freeze Frame,1ynmMEK1fkyiZ6Z6F3ThEt,75,,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,audio_features,216533,4
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),2Cdvbe2G4hZsnhNMKyGrie,82,https://p.scdn.co/mp3-preview/931dee7b6bcc7c60edc631ff1892e363a47fe222?cid=3502c8805da84b25aa0305556012150b,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,audio_features,175173,4
