Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
The Voice,The Moody Blues,06.06.81,1,4 WKS,06.27.81
The Other Side Of Life,The Moody Blues,06.07.86,11,12 Wks,08.02.86
Your Wildest Dreams,The Moody Blues,04.19.86,2,12 Wks,05.17.86
Meanwhile,The Moody Blues,08.22.81,11,12 Wks,09.12.81
SITTING AT THE WHEEL,The Moody Blues,09.03.83,3,12 Wks,10.08.83
GEMINI DREAM,The Moody Blues,06.06.81,13,12 Wks,07.04.81
I Know You're Out There Somewhere,The Moody Blues,06.04.88,2,12 Wks,06.25.88
Say It With Love,The Moody Blues,06.22.91,22,12 Wks,07.27.91
Blue World,The Moody Blues,10.22.83,32,12 Wks,11.26.83
"22,000 Days",The Moody Blues,07.04.81,38,12 Wks,07.11.81
Here Comes The Weekend,The Moody Blues,09.03.88,50,12 Wks,09.03.88
Awake,Godsmack,10.14.00,1,1 WKS,02.03.01
Keep Away,Godsmack,05.08.99,5,12 Wks,09.04.99
Whatever,Godsmack,10.24.98,7,12 Wks,03.06.99
I Stand Alone,Godsmack,02.16.02,1,4 WKS,05.18.02
Voodoo,Godsmack,11.20.99,5,12 Wks,03.04.00
Love-Hate-Sex-Pain,Godsmack,07.24.10,2,12 Wks,10.30.10
Greed,Godsmack,03.24.01,3,12 Wks,05.19.01
Whiskey Hangover,Godsmack,06.27.09,1,3 WKS,09.12.09
Cryin' Like A Bitch!,Godsmack,02.27.10,1,5 WKS,04.24.10
Bulletproof,Godsmack,03.10.18,1,5 WKS,05.26.18
The Enemy,Godsmack,11.18.06,4,12 Wks,02.03.07
Straight Out Of Line,Godsmack,02.15.03,1,2 WKS,03.29.03
Speak,Godsmack,02.25.06,1,6 WKS,03.25.06
Unforgettable,Godsmack,02.08.20,1,5 WKS,05.16.20
When Legends Rise,Godsmack,09.22.18,1,5 WKS,12.15.18
Serenity,Godsmack,07.05.03,7,12 Wks,10.11.03
Re-Align,Godsmack,11.29.03,3,12 Wks,03.20.04
Running Blind,Godsmack,03.20.04,3,12 Wks,06.26.04
Touche,Godsmack Featuring Dropbox,07.31.04,7,12 Wks,10.30.04
Bad Religion,Godsmack,06.17.00,8,12 Wks,09.30.00
Under Your Scars,Godsmack,04.13.19,1,2 WKS,07.27.19
Shine Down,Godsmack,07.01.06,4,12 Wks,10.14.06
Good Times Bad Times,Godsmack,10.20.07,8,12 Wks,12.01.07
Rocky Mountain Way,Godsmack,04.28.12,5,12 Wks,06.09.12
1000hp,Godsmack,06.28.14,1,3 WKS,08.23.14
Something Different,Godsmack,10.11.14,6,12 Wks,12.20.14
Surrender,Godsmack,10.08.22,1,5 WKS,11.12.22
Soul On Fire,Godsmack,03.11.23,2,12 Wks,05.13.23
What's Next?,Godsmack,05.30.15,11,12 Wks,07.04.15
Saints And Sinners,Godsmack,04.16.11,25,12 Wks,06.04.11
Bad Magick,Godsmack,09.15.01,12,12 Wks,10.06.01
Come Together,Godsmack,04.08.17,21,12 Wks,05.06.17
Inside Yourself,Godsmack,11.21.15,32,12 Wks,11.21.15
White Trash Circus,"Motley Crue, Godsmack, Theory Of A Deadman, Drowning Pool & Charm City Devils",05.16.09,37,12 Wks,05.23.09
Truth,Godsmack,02.24.24,25,12 Wks,03.02.24
The Pot,Tool,08.05.06,1,4 WKS,11.25.06
Schism,Tool,05.19.01,2,12 Wks,06.02.01
Parabola,Tool,04.20.02,10,12 Wks,08.03.02
Stinkfist,Tool,09.28.96,17,12 Wks,12.14.96
Sober,Tool,10.09.93,13,12 Wks,12.18.93
AEnema,Tool,08.02.97,25,12 Wks,08.30.97
Lateralus,Tool,11.17.01,14,12 Wks,01.12.02
Vicarious,Tool,05.06.06,2,12 Wks,06.17.06
Jambi,Tool,02.10.07,7,12 Wks,05.12.07
Fear Inoculum,Tool,08.17.19,2,12 Wks,10.19.19
Pneuma,Tool,01.04.20,15,12 Wks,04.11.20
Forty Six & 2,Tool,11.15.97,22,12 Wks,12.13.97
H.,Tool,02.22.97,23,12 Wks,03.22.97
